IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37746,2860,55,55,24,4179054,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,912834,0,3237,0,0,4175010,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9514449,8910651,9592,9591,0,4174974,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9069049,0,9592,0,0,4174974,0,Benign
192.168.100.5,80,192.168.100.46,3456,17,0,9413486,8978516,9592,9591,0,4174974,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8841167,0,9592,0,0,4174974,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4010816,0,5756,0,0,4174974,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237176,0,5156,0,0,4174974,0,Benign
192.168.100.7,80,192.168.100.150,46308,6,7,60,532,1,2,26,4282348,0,Benign
192.168.100.7,80,192.168.100.150,46310,6,7,60,558,1,2,26,4281743,0,Benign
192.168.100.7,80,192.168.100.150,46316,6,7,1340,900,4,4,27,4252616,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913116,0,3238,0,0,4174991,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4009142,0,5755,0,0,4175000,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237176,0,5156,0,0,4175000,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9070352,0,9593,0,0,4174979,0,Benign
192.168.100.3,80,192.168.100.55,8080,6,7,8913630,9514149,9593,9593,0,4174975,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8980658,9415379,9593,9593,0,4174979,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8845470,0,9593,0,0,4174979,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,38140,2652,51,51,24,4175409,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9518105,8917611,9596,9596,0,4174985,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9072944,0,9596,0,0,4174985,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4174998,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8983598,9418696,9596,9596,0,4174985,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8848761,0,9596,0,0,4174985,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4011932,0,5758,0,0,4174985,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237268,0,5158,0,0,4174985,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37256,2912,56,56,24,4176025,0,Benign
192.168.100.3,57533,184.85.248.65,53,17,0,84,221,1,1,0,4294751,0,Benign
192.168.100.3,41575,205.251.197.191,53,17,5.178,84,254,1,1,0,4294957,0,Benign
192.168.100.3,60263,128.63.2.53,53,17,0,56,1125,1,1,0,4294735,0,Benign
192.168.100.3,51245,128.63.2.53,53,17,0,68,1199,1,1,0,4294735,0,Benign
192.168.100.3,54220,192.33.14.30,53,17,0,68,789,1,1,0,4294958,0,Benign
192.168.100.3,58966,205.251.195.97,53,17,5.178,79,216,1,1,0,4294730,0,Benign
192.168.100.3,62298,205.251.196.236,53,17,5.178,79,312,1,1,0,4294955,0,Benign
192.168.100.3,31067,202.12.27.33,53,17,0,56,1125,1,1,0,4294804,0,Benign
192.168.100.3,63669,202.12.27.33,53,17,0,67,1195,1,1,0,4294804,0,Benign
192.168.100.3,12083,192.33.14.30,53,17,0,67,788,1,1,0,4294958,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4003617,0,5746,0,0,4174994,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,236762,0,5147,0,0,4175007,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9055619,0,9577,0,0,4174982,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,911424,0,3232,0,0,4175007,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9497203,8899949,9577,9577,0,4174982,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8966514,9397399,9577,9577,0,4174982,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8831583,0,9577,0,0,4174982,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37061,2444,47,47,24,4175699,0,Benign
192.168.100.3,50617,34.213.81.108,443,6,91.178,2037,4132,16,14,27,4234104,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175011,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9074541,0,9598,0,0,4174974,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519766,8918520,9598,9598,0,4174973,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8985387,9420086,9598,9598,0,4174973,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8850241,0,9598,0,0,4174974,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4012859,0,5759,0,0,4174974,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174974,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36931,2340,45,45,24,4175588,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36975,2444,47,47,24,4179925,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175006,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4012432,0,5758,0,0,4174995,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237268,0,5158,0,0,4174994,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8850183,0,9597,0,0,4174983,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8984743,9419528,9597,9597,0,4174979,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9518449,8917499,9597,9597,0,4174979,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9073719,0,9597,0,0,4174983,0,Benign
192.168.100.7,80,192.168.100.149,56900,6,7,1340,585,4,5,27,4261690,0,Benign
192.168.100.7,80,192.168.100.149,57374,6,7,1340,674,4,5,27,4279130,0,Benign
192.168.100.147,45882,116.206.80.123,123,17,0,76,76,1,1,0,4294959,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175014,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174992,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9073710,0,9598,0,0,4174980,0,Benign
192.168.100.3,80,192.168.100.55,8080,6,7,8919037,9518981,9598,9598,0,4174979,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8985436,9420016,9598,9598,0,4174979,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8849451,0,9598,0,0,4174980,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4013072,0,5759,0,0,4174980,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37860,2704,52,52,24,4177881,0,Benign
192.168.100.6,59322,192.168.100.1,53,17,5.212,71,126,1,1,0,4294966,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175009,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4011615,0,5758,0,0,4174996,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9072331,0,9597,0,0,4174984,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519853,8916383,9597,9597,0,4174984,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8984194,9418967,9597,9597,0,4174984,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8849330,0,9597,0,0,4174984,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174984,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36606,2340,45,45,24,4178093,0,Benign
192.168.100.150,49035,27.124.125.251,123,17,0,76,76,1,1,0,4294917,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9074988,0,9598,0,0,4174977,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913680,0,3240,0,0,4174977,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519730,8919318,9598,9598,0,4174974,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8985331,9420197,9598,9598,0,4174974,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8849700,0,9598,0,0,4174974,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4012555,0,5759,0,0,4174977,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174989,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37041,2444,47,47,24,4177230,0,Benign
192.168.100.3,17774,216.239.36.10,53,17,5.239,84,89,1,1,0,4294822,0,Benign
192.168.100.3,46560,199.7.83.42,53,17,0,56,1317,1,1,0,4294952,0,Benign
192.168.100.3,39101,199.7.83.42,53,17,5.239,71,1202,1,1,0,4294952,0,Benign
192.168.100.3,4922,192.33.14.30,53,17,5.239,71,792,1,1,0,4294957,0,Benign
192.168.100.3,33010,172.217.25.170,443,6,91.239,2014,2993,11,11,26,4294935,0,Benign
192.168.100.3,33010,172.217.25.170,443,6,91.126,150,98,2,1,24,4294921,0,Benign
192.168.100.149,41602,116.206.83.243,123,17,0,76,76,1,1,0,4294960,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36531,2236,43,43,24,4179919,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9014715,0,9535,0,0,4174985,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,907476,0,3218,0,0,4175010,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9457369,8860439,9535,9535,0,4174985,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8926325,9358950,9535,9535,0,4174985,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8792572,0,9535,0,0,4174985,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,3986280,0,5721,0,0,4174985,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,235750,0,5125,0,0,4174998,0,Benign
192.168.100.3,33010,172.217.25.170,443,6,91.126,150,98,2,1,24,4294961,0,Benign
192.168.100.148,40550,116.206.83.243,123,17,0,76,76,1,1,0,4294960,0,Benign
192.168.100.3,33010,172.217.25.170,443,6,91.126,285,156,4,3,25,4294961,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37666,2756,53,53,24,4178885,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9074267,0,9598,0,0,4174973,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519284,8919568,9598,9598,0,4174973,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8985276,9419389,9598,9598,0,4174973,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8849234,0,9598,0,0,4174973,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4012842,0,5759,0,0,4174973,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174991,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37009,2444,47,47,24,4179903,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175017,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9074954,0,9598,0,0,4174979,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519525,8918826,9598,9598,0,4174979,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8986144,9419405,9598,9598,0,4174979,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8850134,0,9598,0,0,4174979,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4013059,0,5759,0,0,4174992,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9073373,0,9597,0,0,4174984,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9518417,8917093,9597,9597,0,4174984,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8984551,9419499,9597,9597,0,4174984,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8849935,0,9597,0,0,4174984,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4011870,0,5758,0,0,4174996,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237268,0,5158,0,0,4174996,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36542,2236,43,43,24,4175924,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9074155,0,9598,0,0,4174971,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913680,0,3240,0,0,4174971,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519364,8918852,9598,9598,0,4174971,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8985420,9420079,9598,9598,0,4174971,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8850190,0,9598,0,0,4174971,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4013421,0,5759,0,0,4174986,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237314,0,5159,0,0,4174986,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36835,2236,43,43,24,4176414,0,Benign
192.168.100.6,64553,192.168.100.1,53,17,5.212,71,126,1,1,0,4294966,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,37158,2548,49,49,24,4179352,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,912834,0,3237,0,0,4175041,0,Benign
192.168.100.5,0,192.168.100.3,0,6,0,4009503,0,5755,0,0,4175014,0,Benign
192.168.100.7,365,192.168.100.3,565,17,0,237176,0,5156,0,0,4175014,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9068670,0,9593,0,0,4174988,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9515436,8913765,9593,9593,0,4174988,0,Benign
192.168.100.46,3456,192.168.100.5,80,17,0,8979582,9415369,9593,9593,0,4174988,0,Benign
192.168.100.46,80,192.168.100.5,80,6,7,8845134,0,9593,0,0,4174988,0,Benign
192.168.100.3,41307,52.64.239.193,8883,6,222.178,36988,2392,46,46,24,4179163,0,Benign
192.168.100.6,80,192.168.100.3,80,6,7,913398,0,3239,0,0,4175001,0,Benign
192.168.100.46,80,192.168.100.5,80,17,0,9073333,0,9597,0,0,4174976,0,Benign
192.168.100.55,8080,192.168.100.3,80,6,7,9519101,8918463,9597,9597,0,4174976,0,Benign
