L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label
44142,80,6,7.0,683,710,6,4,31,4268124,1
53448,80,6,7.0,811,1340,5,4,27,4268004,1
54852,53,17,0.0,144,0,2,0,0,4292466,0
53942,80,6,7.0,662,1288,5,3,30,4276815,1
59376,80,6,7.0,748,770,7,5,31,0,1
45196,80,6,7.0,707,770,7,5,31,0,1
60950,80,6,7.0,662,710,5,4,27,4289920,1
35670,80,6,7.0,718,770,7,5,31,0,1
45856,80,6,7.0,752,1340,5,4,27,4279637,1
42656,80,6,7.0,112,0,2,0,22,1568613,1
56312,80,6,7.0,714,1340,5,4,27,4260491,1
54628,80,6,7.0,766,1340,5,4,27,4260397,1
48060,80,6,7.0,801,1340,5,4,27,4262194,1
35900,80,6,7.0,650,710,5,4,27,4282961,1
33770,80,6,7.0,364,670,4,4,25,4294966,1
51998,80,6,7.0,763,1340,6,4,31,4240146,1
39040,80,6,7.0,112,0,2,0,22,1863514,1
47366,80,6,7.0,806,770,7,5,31,0,1
0,0,1,0.0,296,0,2,0,0,4293825,1
57878,80,6,7.0,727,1340,6,4,31,4237773,1
53964,80,6,7.0,747,770,7,5,31,0,1
43036,80,6,7.0,622,1340,5,4,27,4278958,1
56634,80,6,7.0,737,1340,5,4,27,4263074,1
56076,80,6,7.0,44,40,1,1,22,4294964,1
56706,80,6,7.0,956,718,6,4,30,0,1
54350,3306,6,0.0,434,497,7,6,27,4294769,0
51408,80,6,7.0,862,1288,5,3,30,4276978,1
59495,53,17,0.0,148,0,2,0,0,4289919,0
3859,1,6,238.0,40,40,1,1,20,4294967,0
53240,80,6,7.0,52,0,1,0,20,0,1
42985,53,17,0.0,148,0,2,0,0,4289919,0
3208,1,6,238.0,40,40,1,1,20,4294963,0
42096,80,6,7.0,706,1340,5,4,27,4278618,1
53524,80,6,7.0,112,0,2,0,22,814560,1
56722,80,6,7.0,52,0,1,0,20,0,1
56523,53,17,0.0,148,0,2,0,0,4289919,0
55656,80,6,7.0,777,770,7,5,31,0,1
39538,80,6,7.0,957,770,7,5,31,0,1
59296,80,6,7.0,642,1340,5,4,27,4260526,1
54214,80,6,7.0,639,1340,5,4,27,4278557,1
40760,53,17,0.0,144,0,2,0,0,4289922,0
57814,80,6,7.0,777,770,7,5,31,0,1
55098,80,6,7.0,52,0,1,0,20,0,1
45906,80,6,7.0,845,770,7,5,31,0,1
33842,80,6,7.0,741,1340,5,4,27,4260257,1
37517,81,6,6.998700589096794,696,715,5,4,27,4295958,1
3456,80,17,0.0,2532337,2489464,2518,2518,0,4175041,0
37274,3306,6,0.0,434,497,7,6,27,4294769,0
48406,3306,6,0.0,434,497,7,6,27,4294768,0
43104,80,6,7.0,982,710,6,4,31,4280931,1
37574,53,17,0.0,144,0,2,0,0,4289928,0
42054,80,6,7.0,688,770,7,5,31,0,1
53420,80,6,7.0,112,0,2,0,22,814734,1
52808,80,6,7.0,632,1340,5,4,27,4260507,1
47844,59207,17,0.0,28,0,1,0,0,0,0
38084,80,6,7.0,2144,1340,8,4,27,4262885,1
37178,80,6,7.0,663,710,5,4,27,4289916,1
51932,80,6,7.0,112,0,2,0,22,760009,1
38946,80,6,7.0,112,0,2,0,22,1863537,1
51740,80,6,7.0,677,1340,5,4,27,4261974,1
40846,80,6,7.0,721,718,6,4,30,0,1
55780,80,6,7.0,977,770,7,5,31,0,1
56570,80,6,7.0,658,1340,5,4,27,4262061,1
32800,80,6,7.0,683,710,5,4,27,4289921,1
50412,80,6,7.0,883,770,7,5,31,0,1
47304,80,6,7.0,424,730,5,5,27,4294966,1
42160,80,6,7.0,767,770,7,5,31,0,1
38958,80,6,7.0,112,0,2,0,22,1863534,1
57856,80,6,7.0,841,770,7,5,31,0,1
61786,53838,17,0.0,28,0,1,0,0,0,0
58482,80,6,7.0,923,770,7,5,31,0,1
56768,80,6,7.0,867,770,7,5,31,0,1
34028,80,6,7.0,112,0,2,0,22,1711029,1
36576,80,6,7.0,52,0,1,0,20,0,1
34270,53,17,0.0,148,0,2,0,0,4289923,0
57004,19995,17,0.0,28,0,1,0,0,0,0
32808,80,6,7.0,112,0,2,0,22,284097,1
34264,80,6,7.0,112,0,2,0,22,1710957,1
34664,80,6,7.0,112,0,2,0,22,337034,1
41830,80,6,7.0,902,710,6,4,31,4287933,1
42220,80,6,7.0,775,658,5,3,30,4287994,1
55372,80,6,7.0,924,770,7,5,31,0,1
45438,80,6,7.0,780,718,6,4,30,0,1
54584,80,6,7.0,901,770,7,5,31,0,1
36304,80,6,7.0,112,0,2,0,22,1763810,1
53694,80,6,7.0,112,0,2,0,22,814474,1
51708,80,6,7.0,52,0,1,0,20,0,1
46450,80,6,7.0,769,770,7,5,31,0,1
44582,80,6,7.0,945,1340,5,4,27,4278527,1
37396,80,6,7.0,680,710,5,4,27,4289900,1
59412,80,6,7.0,795,770,7,5,31,0,1
60284,80,6,7.0,974,770,7,5,31,0,1
35078,80,6,7.0,52,0,1,0,20,0,1
2561,1,6,238.0,40,40,1,1,20,4294967,0
57558,80,6,7.0,286,1400,5,5,27,0,1
50000,80,6,7.0,665,1288,5,3,30,4287932,1
0,0,1,0.0,628,0,3,0,0,900704,1
56272,80,6,7.0,52,0,1,0,20,0,1
39038,80,6,7.0,628,710,5,4,27,4289922,1
58980,80,6,7.0,813,770,7,5,31,0,1
48860,80,6,7.0,112,0,2,0,22,670830,1
59016,80,6,7.0,887,770,7,5,31,0,1
4337,1,6,238.0,40,40,1,1,20,4294967,0
48816,80,6,7.0,634,1340,5,4,27,4261896,1
41896,53,17,0.0,148,0,2,0,0,4289925,0
59096,80,6,7.0,814,770,7,5,31,0,1
54202,3306,6,0.0,434,497,7,6,27,4294769,0
58028,8883,6,222.178,37523,2704,52,52,24,4176297,0
52994,80,6,7.0,812,770,7,5,31,0,1
59682,80,6,7.0,789,770,7,5,31,0,1
54210,80,6,7.0,52,0,1,0,20,0,1
40788,80,6,7.0,696,718,6,4,30,0,1
33888,80,6,7.0,2040,770,11,5,31,0,1
52336,80,6,7.0,810,770,7,5,31,0,1
55277,53,17,0.0,148,0,2,0,0,4289922,0
41859,1090,17,0.0,28,0,1,0,0,0,0
54888,80,6,7.0,708,710,6,4,31,4287656,1
33664,80,6,7.0,52,0,1,0,20,0,1
56972,80,6,7.0,614,1340,5,4,27,4278589,1
55180,80,6,7.0,926,710,5,4,27,4289918,1
53426,80,6,7.0,713,658,5,3,30,4292838,1
34476,80,6,7.0,52,0,1,0,20,0,1
55554,53,17,0.0,148,0,2,0,0,4289928,0
35506,80,6,7.0,52,0,1,0,20,0,1
80,80,6,7.0,839232,0,2976,0,0,4175836,0
47844,49161,17,0.0,28,0,1,0,0,0,0
35758,80,6,7.0,804,1340,5,4,27,4260786,1
60346,80,6,7.0,807,770,7,5,31,0,1
42200,80,6,7.0,534,658,5,3,30,4287991,1
60680,80,6,7.0,52,0,1,0,20,0,1
54540,80,6,7.0,776,770,7,5,31,0,1
58456,80,6,7.0,716,770,7,5,31,0,1
53824,80,6,7.0,112,0,2,0,22,814412,1
60734,80,6,7.0,640,1340,5,4,27,4262863,1
48994,80,6,7.0,885,728,5,5,27,4294731,1
39215,53,17,0.0,148,0,2,0,0,4289919,0
49676,80,6,7.0,738,1340,5,4,27,4278467,1
33460,80,6,7.001200851270147,865,775,7,5,31,-6212,1
35536,80,6,7.0,692,710,5,4,27,4289921,1
41859,21649,17,0.0,28,0,1,0,0,0,0
54298,3306,6,0.0,434,497,7,6,27,4294768,0
36640,80,6,7.0,721,770,7,5,31,0,1
39148,80,6,7.0,112,0,2,0,22,1863480,1
33996,80,6,7.0,1264,689,5,4,25,4294784,1
51802,80,6,7.0,112,0,2,0,22,760297,1
3456,80,17,0.0,2519849,2476941,2505,2505,0,4174989,0
33986,80,6,7.0,595,710,5,4,27,4289919,1
0,0,1,0.0,328,0,3,0,0,2409385,1
52962,80,6,7.0,112,0,2,0,22,62513,1
60888,80,6,7.0,892,770,7,5,31,0,1
35374,80,6,7.0,52,0,1,0,20,0,1
47967,80,6,7.0,84,44,2,1,22,4294967,1
52230,80,6,7.0,634,1288,5,3,30,4274494,1
41896,80,6,7.0,987,770,7,5,31,0,1
53852,80,6,7.0,708,1340,6,4,31,4266601,1
48160,80,6,7.0,112,0,2,0,22,671014,1
35886,80,6,7.0,699,710,5,4,27,4282962,1
35328,80,6,7.0,948,770,7,5,31,0,1
3362,1,6,238.0,40,40,1,1,20,4294967,0
37890,80,6,7.0,761,710,5,4,27,4284150,1
53502,80,6,7.0,781,710,5,4,27,4283511,1
57834,80,6,7.0,575,765,6,5,27,4294811,1
56500,80,6,7.0,603,1340,5,4,27,4262717,1
54390,80,6,7.0,810,1340,5,4,27,4278704,1
34590,80,6,7.0,756,770,7,5,31,0,1
37336,80,6,7.0,112,0,2,0,22,1818894,1
38024,80,6,7.0,646,1340,5,4,27,4262872,1
54316,80,6,7.0,623,710,5,4,27,4284014,1
52744,80,6,7.0,664,1340,5,4,27,4260722,1
80,46310,6,7.0,60,558,1,2,26,4281743,0
36110,53,17,0.0,148,0,2,0,0,4289926,0
52512,80,6,7.0,697,770,7,5,31,0,1
42598,80,6,7.0,800,718,6,4,30,0,1
33084,80,6,7.0,684,710,5,4,27,4282963,1
34209,80,6,7.0,44,40,1,1,22,4294967,1
44472,80,6,7.0,861,1340,5,4,27,4261154,1
60542,80,6,7.0,902,770,7,5,31,0,1
46316,80,6,7.0,737,770,7,5,31,0,1
59907,53,17,0.0,148,0,2,0,0,4289919,0
44872,80,6,7.0,721,710,6,4,31,4273883,1
52262,80,6,7.0,720,1340,5,4,27,4260359,1
54998,80,6,7.0,552,1340,5,4,27,4278657,1
38106,80,6,7.0,621,1340,5,4,27,4264919,1
0,0,1,0.0,328,0,3,0,0,4278092,1
36140,80,6,7.0,359,1283,6,4,27,4294817,1
53256,80,6,7.0,641,1340,5,4,27,4261659,1
50120,80,6,7.0,814,1340,6,4,31,4252845,1
52998,80,6,7.0,112,0,2,0,22,62469,1
51822,80,6,7.0,876,1340,6,4,27,4278320,1
39926,80,6,7.0,640,770,7,5,31,0,1
0,0,1,0.0,80,0,2,0,0,900380,1
42882,80,6,7.001061951910431,81,-1,1,0,22,9528,1
53000,80,6,7.0,895,770,8,5,31,0,1
33370,80,6,7.0,868,770,7,5,31,0,1
51388,53,17,0.0,148,0,2,0,0,4289924,0
37458,80,6,7.0,704,770,7,5,31,0,1
56386,80,6,7.0,886,770,7,5,31,0,1
43366,80,6,7.0,706,1340,5,4,27,4278212,1
56770,80,6,7.0,816,1340,5,4,27,4261601,1
33094,80,6,7.0,803,770,7,5,31,0,1
55410,80,6,7.0,650,1340,5,4,27,4260396,1
50644,80,6,7.0,877,1340,6,4,31,4257249,1
56240,80,6,7.0,826,770,7,5,31,0,1
40128,80,6,7.0,705,770,7,5,31,0,1
46450,80,6,7.0,662,1340,5,4,27,4261750,1
1509,1,6,238.0,40,40,1,1,20,4294967,0
56194,80,6,7.0,842,1340,5,4,27,4260469,1
60174,80,6,7.0,917,770,7,5,31,0,1
47950,80,6,7.0,677,1340,5,4,27,4261887,1
59646,80,6,7.0,665,1340,5,4,27,4262263,1
55796,80,6,7.0,662,1340,6,4,31,4239396,1
49676,80,6,7.0,112,0,2,0,22,705706,1
37796,80,6,7.0,731,1340,5,4,27,4264736,1
48204,53,17,0.0,148,0,2,0,0,4289919,0
80,80,6,7.0,200220,0,710,0,0,4193620,0
40954,80,6,7.0,656,710,5,4,27,4289918,1
50528,80,6,7.0,755,770,7,5,31,0,1
39332,80,6,7.0,698,710,5,4,27,4282964,1
45248,80,6,7.0,607,1340,5,4,27,4279003,1
0,0,1,0.0,168,0,2,0,0,4294387,1
52354,80,6,7.0,800,770,7,5,31,0,1
52392,80,6,7.0,826,770,7,5,31,0,1
49510,80,6,7.0,278,408,5,4,31,4289712,1
45352,80,6,7.0,4113,770,11,5,31,0,1
59464,80,6,7.0,741,770,7,5,31,0,1
0,0,1,0.0,6911,0,117,0,0,4175432,1
53244,80,6,7.0,766,1340,6,4,31,4258362,1
46610,80,6,7.0,625,1340,5,4,27,4278786,1
51798,80,6,7.0,112,0,2,0,22,760298,1
3306,51616,6,20.0,294,120,4,3,29,4294966,0
35948,80,6,7.0,52,0,1,0,20,0,1
34584,80,6,7.0,682,770,7,5,31,0,1
56312,443,6,91.178,2109,4132,18,14,27,4233226,0
60518,80,6,7.0,823,770,7,5,31,0,1
39744,3306,6,0.0,434,497,7,6,27,4294769,0
41859,686,17,0.0,28,0,1,0,0,0,0
51422,80,6,7.0,674,1340,5,4,27,4261296,1
57022,80,6,7.0,52,0,1,0,20,0,1
56784,80,6,7.0,4458,1340,14,4,27,4245440,1
42838,80,6,7.0,595,1340,5,4,27,4278631,1
50014,80,6,7.0,506,1288,5,3,30,4287942,1
53654,80,6,7.0,734,770,7,5,31,0,1
51602,80,6,7.0,684,1340,5,4,27,4260931,1
35644,80,6,7.0,112,0,2,0,22,1763967,1
33502,80,6,7.0,612,710,5,4,27,4284132,1
39802,3306,6,0.0,434,497,7,6,27,4294768,0
53206,80,6,7.0,797,1340,5,4,27,4264158,1
53866,80,6,7.0,889,770,7,5,31,0,1
53482,80,6,7.0,52,0,1,0,20,0,1
40585,53,17,5.126,62,137,1,1,0,4294822,0
60444,80,6,7.0,52,0,1,0,20,0,1
53384,80,6,7.0,723,710,5,4,27,4282961,1
51102,80,6,7.0,748,718,6,4,30,0,1
54222,80,6,7.0,646,1340,5,4,27,4260322,1
35098,80,6,7.0,112,0,2,0,22,336944,1
52810,80,6,7.0,786,718,6,4,30,0,1
3306,47856,6,20.0,294,120,4,3,29,4294967,0
35902,80,6,7.0,767,770,7,5,31,0,1
54500,80,6,7.0,877,770,7,5,31,0,1
52740,80,6,7.0,52,0,1,0,20,0,1
59352,80,6,7.0,882,770,7,5,31,0,1
39660,80,6,7.0,1043,718,6,4,30,0,1
42366,80,6,7.0,1017,770,7,5,31,0,1
50976,80,6,7.0,766,770,7,5,31,0,1
55006,80,6,7.0,476,740,6,5,27,4294816,1
39782,3306,6,0.0,434,497,7,6,27,4294769,0
37320,80,6,7.0,52,0,1,0,20,0,1
53612,80,6,7.0,739,710,5,4,27,4287042,1
35058,80,6,7.0,739,1340,5,4,27,4264068,1
54620,80,6,7.0,672,770,7,5,31,0,1
50342,19017,17,0.0,28,0,1,0,0,0,0
49642,80,6,7.0,112,0,2,0,22,558811,1
34350,80,6,7.0,811,770,7,5,31,0,1
53580,80,6,7.0,859,1340,5,4,27,4277476,1
61966,53,17,5.24,85,222,1,1,0,4294732,0
58800,80,6,7.0,943,770,7,5,31,0,1
0,0,1,0.0,440,0,3,0,0,4278009,1
53812,80,6,7.0,885,1340,5,4,27,4262120,1
48135,53,17,0.0,148,0,2,0,0,4289922,0
3306,38018,6,20.0,294,120,4,3,29,4294967,0
54314,80,6,7.0,715,710,6,4,31,4281374,1
54038,80,6,7.0,660,1288,5,3,30,4276829,1
32932,80,6,7.0,112,60,2,1,22,4294967,1
43560,80,6,7.0,656,658,5,3,30,4288150,1
53642,80,6,7.0,112,0,2,0,22,814501,1
3306,54010,6,0.0,497,434,6,7,27,4294769,0
57896,80,6,7.0,670,718,6,4,30,0,1
55188,80,6,7.0,659,710,5,4,27,4289919,1
53384,80,6,7.0,611,1340,5,4,27,4279017,1
39128,80,6,7.0,638,1340,5,4,31,4294314,1
36880,80,6,7.0,727,1340,6,4,31,4240736,1
50343,137,17,0.0,78,0,1,0,0,0,0
38630,80,6,7.0,713,770,7,5,31,0,1
54004,3306,6,0.0,434,497,7,6,27,4294768,0
34401,17423,17,0.0,28,0,1,0,0,0,0
56953,53,17,0.0,148,0,2,0,0,4289919,0
46524,80,6,7.0,815,1340,5,4,27,4278765,1
60328,80,6,7.0,40,0,1,0,4,0,1
52404,80,6,7.0,684,1340,5,4,27,4260382,1
36460,80,6,7.0,701,1340,5,4,27,4264133,1
48050,80,6,7.0,665,1340,5,4,27,4262193,1
48146,80,6,7.0,885,738,5,5,27,4294893,1
36798,80,6,7.0,710,710,5,4,27,4283154,1
46956,80,6,7.0,652,1340,5,4,27,4278151,1
34962,80,6,7.0,52,0,1,0,20,0,1
61685,53,17,0.0,78,833,1,1,0,4294809,0
35944,80,6,7.0,52,0,1,0,20,0,1
49762,80,6,7.0,958,710,5,4,27,4289921,1
56852,80,6,7.0,796,770,7,5,31,0,1
42598,80,6,7.0,627,710,5,4,27,4289903,1
34218,80,6,7.0,112,0,2,0,22,1710971,1
2118,1,6,238.0,40,40,1,1,20,4294967,0
58322,80,6,7.0,629,770,7,5,31,0,1
0,0,1,0.0,262,0,2,0,0,4268120,1
50342,49158,17,0.0,28,0,1,0,0,0,0
36849,33355,17,0.0,28,0,1,0,0,0,0
37398,80,6,7.0,634,710,5,4,27,4289216,1
43390,80,6,7.0,641,1340,5,4,27,4261621,1
38130,80,6,7.0,112,0,2,0,22,426625,1
48924,80,6,7.0,662,710,5,4,27,4283152,1
48522,80,6,7.0,689,710,5,4,27,4282974,1
51002,53,17,0.0,148,0,2,0,0,4289921,0
53212,80,6,7.0,920,770,7,5,31,4294967,1
54426,80,6,7.0,859,770,7,5,31,0,1
59622,80,6,7.0,923,770,7,5,31,0,1
52992,80,6,7.0,52,0,1,0,20,0,1
60286,80,6,7.0,52,0,1,0,20,0,1
48834,3306,6,0.0,434,497,7,6,27,4294769,0
55280,80,6,7.0,726,658,5,3,30,4294818,1
42690,80,6,7.0,112,0,2,0,22,1568579,1
56582,80,6,7.0,692,1340,5,4,27,4262063,1
58384,80,6,7.0,449,100,2,2,30,0,1
41376,80,6,7.0,716,658,5,3,30,4290416,1
80,80,17,0.0,2321640,0,2520,0,0,4175009,0
33858,80,6,7.0,52,0,1,0,20,0,1
59780,80,6,7.0,112,0,2,0,22,876337,1
80,80,17,0.0,8541641,0,9035,0,0,4174976,0
59360,80,6,7.0,837,770,7,5,31,0,1
34404,80,6,7.0,573,1340,5,4,27,4278798,1
55574,80,6,7.0,841,718,6,4,30,0,1
36488,80,6,7.0,799,1340,5,4,27,4277722,1
59736,80,6,7.0,967,770,7,5,31,0,1
52048,80,6,7.0,800,770,7,5,31,0,1
34848,80,6,7.0,112,0,2,0,22,336995,1
0,0,1,0.0,6813,0,120,0,0,4176433,1
60418,80,6,7.0,889,770,7,5,31,0,1
38196,80,6,7.0,924,710,5,4,27,4289916,1
36430,53,17,5.126,72,72,1,1,0,4294960,0
42646,80,6,7.0,954,1340,6,4,31,4260680,1
52264,80,6,7.0,888,770,7,5,31,0,1
55420,80,6,7.0,670,770,7,5,31,0,1
33208,80,6,7.0,112,0,2,0,22,284025,1
52032,80,6,7.0,875,770,7,5,31,0,1
37844,80,6,7.0,819,770,7,5,31,0,1
37278,80,6,7.0,760,710,5,4,27,4283371,1
33888,80,6,7.0,609,1340,5,4,27,4260268,1
0,0,1,0.0,168,0,2,0,0,4294400,1
80,80,17,0.0,2313203,0,2511,0,0,4175016,0
55270,80,6,7.0,775,770,7,5,31,0,1
35962,80,6,7.0,819,770,7,5,31,0,1
48244,80,6,7.0,607,710,5,4,27,4289922,1
36728,80,6,7.0,686,1340,6,4,27,4261581,1
41777,53,17,0.0,148,0,2,0,0,4289922,0
54424,80,6,7.0,703,1340,5,4,27,4260352,1
13392,53,17,5.178,84,254,1,1,0,4294688,0
4360,1,6,238.0,40,40,1,1,20,4294967,0
55212,80,6,7.0,1112,1340,6,4,27,4260450,1
47844,1718,17,0.0,28,0,1,0,0,0,0
51676,80,6,7.0,52,0,1,0,20,0,1
45894,80,6,7.0,681,1340,5,4,27,4263348,1
4526,1,6,238.0,40,40,1,1,20,4294967,0
53264,80,6,7.0,796,770,7,5,31,0,1
50080,80,6,7.0,637,1288,5,3,30,4287958,1
42148,80,6,7.0,713,770,7,5,31,0,1
46480,80,6,7.0,753,710,6,4,31,4276508,1
33332,80,6,7.0,823,1340,7,4,31,4273578,1
51272,80,6,7.0,787,1340,5,4,27,4260256,1
55458,80,6,7.0,933,770,7,5,31,0,1
39492,80,6,7.0,112,0,2,0,22,1863145,1
39118,80,6,7.0,811,1392,6,5,31,4294314,1
38146,80,6,7.0,935,770,7,5,31,0,1
56762,80,6,7.0,1024,770,8,5,31,0,1
55546,80,6,7.0,2280,770,10,5,31,0,1
61786,18258,17,0.0,28,0,1,0,0,0,0
60726,80,6,7.0,1057,1414,7,8,31,4294967,1
37042,80,6,7.0,722,710,5,4,27,4287543,1
53712,80,6,7.0,338,1414,6,6,27,4288915,1
37250,80,6,7.0,52,0,1,0,20,0,1
3792,1,6,238.0,40,40,1,1,20,4294967,0
52024,80,6,7.0,722,1340,6,4,31,4240151,1
56978,80,6,7.0,770,770,7,5,31,0,1
56410,80,6,7.0,570,1340,5,4,27,4262233,1
0,0,1,0.0,440,0,3,0,0,4276533,1
38638,80,6,7.0,1904,770,11,5,31,0,1
0,0,1,0.0,40,0,1,0,0,0,1
55328,80,6,7.0,758,1340,5,4,27,4262626,1
39709,814,17,0.0,28,0,1,0,0,0,0
32878,80,6,7.0,667,710,5,4,27,4289918,1
34242,80,6,7.0,877,1340,5,4,27,4260427,1
35032,80,6,7.0,52,0,1,0,20,0,1
36732,3306,6,0.0,434,497,7,6,27,4294769,0
49600,80,6,7.0,576,710,5,4,27,4289925,1
40332,80,6,7.0,777,770,7,5,31,0,1
33356,80,6,7.0,112,0,2,0,22,283997,1
52639,53,17,0.0,144,0,2,0,0,4289918,0
45900,80,6,7.0,940,1340,5,4,27,4263369,1
35320,80,6,7.0,52,0,1,0,20,0,1
41426,80,6,7.0,569,1340,6,4,31,4261174,1
54476,80,6,7.0,720,1340,5,4,27,4260337,1
37220,80,6,7.0,704,710,5,4,27,4289914,1
43299,53,17,5.126,72,72,1,1,0,4294959,0
54388,3306,6,0.0,434,497,7,6,27,4294768,0
42154,80,6,7.0,868,770,7,5,31,0,1
80,46308,6,7.0,60,532,1,2,26,4282348,0
33590,80,6,7.0,727,1340,5,4,27,4278583,1
53000,80,6,7.0,52,0,1,0,20,0,1
56272,80,6,7.0,708,770,7,5,31,0,1
58716,80,6,7.0,52,0,1,0,20,0,1
80,80,6,7.0,913398,0,3239,0,0,4175001,0
57326,80,6,7.0,707,770,7,5,31,0,1
51323,53,17,0.0,148,0,2,0,0,4289925,0
52146,80,6,7.0,716,1340,5,4,27,4275286,1
48866,3306,6,0.0,434,497,7,6,27,4294769,0
59556,80,6,7.0,976,1340,5,4,27,4262243,1
34848,80,6,7.0,52,0,1,0,20,0,1
